incomeperperson,armedforcesrate,co2emissions,
,0.5696534,75944000,
1914.996551,1.0247361,223747333.3,
2231.993335,2.306817,2932108667,
21943.3399,,,
1381.004268,1.4613288,248358000,
11894.46407,,16225000,
10749.41924,0.560987,5872119000,
1326.741757,2.6184384,51219666.67,
,,35871000,
25249.98606,0.4862799,12970092667,
26692.98411,0.8155798,4466084333,
2344.896916,1.9767462,511107666.7,
19630.54055,0.5452863,137555000,
12505.21254,5.2311429,503994333.3,
558.0628766,0.2878915,598774000,
9243.587053,0.6639555,36160666.67,
2737.670379,3.7119299,999874333.3,
24496.04826,0.8156477,10897025333,
3545.652174,0.7583556,14058000,
377.0396995,0.2233986,37950000,
62682.14701,,20331666.67,
1324.194906,,6024333.333,
1232.794137,1.8821978,254939666.7,
2183.344867,0.4628471,236419333.3,
4189.436587,1.1319097,78943333.33,
4699.411262,0.7213964,9580226333,
17092.46,4.683989,254206333.3,
2549.558474,2.0433877,3157700333,
276.200413,0.1629041,20628666.67,
115.3059959,1.1577498,8092333.333,
557.9475126,2.5364458,45411666.67,
713.6393027,0.305758,125172666.7,
25575.35262,0.3429763,24979045667,
1959.844472,0.4833248,5214000,
,,8968666.667,
239.5187494,0.1486587,8338000,
275.8842865,0.8358123,7608333.333,
6334.105194,1.3411144,1839471333,
2425.471293,0.3713568,1.01E+11,
3233.42378,2.2156207,2269806000,
336.3687495,,2368666.667,
 Dem. Rep.,3.39,10.3,33.96
 Rep.,4.46,20.6,61.34
,,1045000,
5188.900935,0.4736536,148470666.7,
591.0679443,0.2339148,228748666.7,
6338.494668,1.1032787,310024000,
4495.046262,1.4953835,1286670000,
15313.85935,2.4549129,183535000,
7381.312751,0.5157058,1776016000,
30532.27704,1.012373,3503877667,
895.3183396,3.4515458,14054333.33,
6147.77961,,2401666.667,
4049.169629,1.469369,446365333.3,
1728.020976,1.0179463,692039333.3,
1975.551906,3.2908071,3341129000,
2557.433638,1.321155,143586666.7,
8654.536845,0.3976544,26125000,
131.796207,9.8201265,7315000,
6238.537506,0.9984276,277170666.7,
220.8912479,0.3617085,119958666.7,
,,21351000,
2230.676374,1.1772684,35717000,
27110.73159,1.1774157,2420300667,
22878.46657,1.2337802,33341634333,
,,19800000,
4180.765821,1.0189063,170804333.3,
354.5997263,0.1345905,7355333.333,
1258.762596,1.4507353,81191000,
25306.18719,0.5758096,41229554667,
358.9795398,0.1314868,188268666.7,
,,,
13577.87989,3.0932506,2712915333,
20751.89342,,23635333.33,
5330.401612,,4774000,
,,45778333.33,
,,,
1860.753895,0.6608385,242594000,
411.5014473,0.4026995,46684000,
161.3171371,0.9301079,7813666.667,
1200.652075,0.8776657,69329333.33,
371.4241975,0,40857666.67,
1392.411829,0.7108232,131703000,
 China,,,100
5634.003948,0.8668624,4244009000,
33945.31442,0.0661,92770333.33,
786.7000981,0.5739204,30391317000,
1143.831514,0.5159403,6710201667,
2161.54651,2.0263996,9183548000,
736.2680538,7.7379125,2421917667,
27595.09135,0.4500244,1633778667,
22275.75166,5.8731426,1561079667,
18982.26929,1.7293464,19000454000,
3665.348369,0.2437395,340090666.7,
39309.47886,0.3618584,46092214667,
2534.00038,5.9096991,377303666.7,
2481.718918,0.9562696,2484925667,
468.6960436,0.1595738,283583666.7,
760.262365,,1111000,
 Dem. Rep.,,20.4,62.68
 Rep.,19.15,20.4,81.46
,1.6095482,1712755000,
372.728414,0.8377678,87970666.67,
554.8798401,4.3015761,21332666.67,
5011.219456,1.3164321,125755666.7,
6746.612632,5.4065355,428006333.3,
495.7342469,0.2176526,,
155.0332312,0.1299529,38991333.33,
7885.468037,3.3116742,1414031667,
81647.10003,,,
5332.238591,1.4878309,226255333.3,
52301.58718,0.7313362,592012666.7,
 China,,,100
 FYR,8.94,52.1,66.9
242.6775342,0.2351846,62777000,
184.1417966,0.1145925,28490000,
5184.709328,1.1421267,2670950333,
4038.857818,,8231666.667,
269.8928811,0.3269778,17515666.67,
11066.78414,1.1443188,73784333.33,
2437.282445,,1206333.333,
,,56162333.33,
609.1312059,1.5512617,56818666.67,
5182.143721,0.3495439,59473333.33,
6105.280743,0.6123401,13304503667,
 Fed. Sts.,5.25,,22.54
595.8745345,0.5415062,149904333.3,
105147.4377,,,
772.9333448,1.2118685,300934333.3,
2222.335052,,,
1844.351028,2.0858528,953051000,
389.7636343,0.1022692,107096000,
,1.9129653,322960000,
2667.24671,1.9729132,26209333.33,
,,4814333.333,
268.2594495,1.0127322,52657000,
26551.84424,0.5261262,9483023000,
,,102538333.3,
,,90269666.67,
14778.16393,0.3891575,1321661000,
948.355952,0.5265916,109681000,
180.083376,0.2177167,30800000,
544.5994767,0.3331953,2386820333,
,,132000,
39972.35277,0.7205279,1962704333,
11191.81101,4.4659976,487993000,
668.547943,1.6494507,2329308667,
6243.571318,,1723333.333,
5900.616944,0.7502103,170404666.7,
744.2394132,0.1051147,88337333.33,
1621.177078,0.885386,95256333.33,
3180.430612,1.4356332,1146277000,
1383.401869,0.3880673,2008116000,
6575.745044,0.8101865,23053598333,
11744.83417,1.616886,1865922667,
15822.11214,,,
33931.83208,1.3342359,811965000,
,,55146666.67,
2636.7878,1.5367663,7104137333,
2923.144355,1.9414459,23404568000,
338.2663912,0.7268554,20152000,
9175.796015,,2251333.333,
5248.582321,,7601000,
4885.046701,,3659333.333,
1784.071284,,4352333.333,
31993.20069,,,
,,2335666.667,
9425.32587,2.6182964,7861553333,
561.7085848,0.3622613,127108666.7,
1194.711433,,,
,,,
8614.120219,,9155666.667,
268.3317903,0.5235483,29758666.67,
32535.83251,6.3949358,1548044667,
8445.526689,0.628578,590674333.3,
12729.4544,1.1602817,214368000,
1144.102193,,5210333.333,
,,16379000,
3745.649852,0.3318626,14609848000,
15461.75837,0.9795374,10822529667,
1295.742686,2.569643,253854333.3,
523.9501515,0.969499,225019666.7,
2668.020519,1.0584191,86317000,
1810.230533,,22704000,
32292.48298,0.3520917,4286590000,
37662.75125,0.52422,2406741333,
1525.780116,5.9558471,1436893333,
,,5248815000,
279.1804526,0.6048733,104170000,
456.3857117,0.1347296,100782000,
2712.517199,1.0936515,4200940333,
369.5729537,0.2342862,850666.6667,
285.2244493,0.3400308,32233666.67,
2025.282665,,2907666.667,
10480.8172,0.581165,,
3164.927693,1.266624,525891666.7,
5348.597192,2.3794147,5675629667,
2062.125152,0.9314175,531303666.7,
1714.94289,,,
377.4211133,0.3445177,49793333.33,
1036.830725,0.9311688,5584766000,
21087.39412,1.8124763,2315698000,
28033.48928,0.5080181,72524250333,
37491.17952,0.9723782,3.34E+11,
9106.327234,1.5793413,275744333.3,
952.8272608,0.7096295,1718339333,
1543.956457,,2977333.333,
5528.363114,0.9040245,5418886000,
722.8075588,1.0853671,1425435000,
,5.9360854,14241333.33,
 Rep.,0.2,35.1,30.64
432.226337,0.3413352,132025666.7,
320.7718899,1.0327854,590219666.7,
