incomeperperson,armedforcesrate,co2emissions
,0.6,75944000   
1915,1,223747333.3
2232,2.3,2932108667 
21943.3,,           
1381,1.5,248358000  
11894.5,,16225000   
10749.4,0.6,5872119000 
1326.7,2.6,51219666.67
,,35871000   
25250,0.5,12970092667
26693,0.8,4466084333 
2344.9,2,511107666.7
19630.5,0.5,137555000  
12505.2,5.2,503994333.3
558.1,0.3,598774000  
9243.6,0.7,36160666.67
2737.7,3.7,999874333.3
24496,0.8,10897025333
3545.7,0.8,14058000   
377,0.2,37950000   
62682.1,,20331666.67
1324.2,,6024333.333
1232.8,1.9,254939666.7
2183.3,0.5,236419333.3
4189.4,1.1,78943333.33
4699.4,0.7,9580226333 
17092.5,4.7,254206333.3
2549.6,2,3157700333 
276.2,0.2,20628666.67
115.3,1.2,8092333.333
557.9,2.5,45411666.67
713.6,0.3,125172666.7
25575.4,0.3,24979045667
1959.8,0.5,5214000    
,,8968666.667
239.5,0.1,8338000    
275.9,0.8,7608333.333
6334.1,1.3,1839471333 
2425.5,0.4,1.01E+11   
3233.4,2.2,2269806000 
336.4,,2368666.667
103.8,0.6,169180000  
1253.3,0.8,46306333.33
,,1045000    
5188.9,0.5,148470666.7
591.1,0.2,228748666.7
6338.5,1.1,310024000  
4495,1.5,1286670000 
15313.9,2.5,183535000  
7381.3,0.5,1776016000 
30532.3,1,3503877667 
895.3,3.5,14054333.33
6147.8,,2401666.667
4049.2,1.5,446365333.3
1728,1,692039333.3
1975.6,3.3,3341129000 
2557.4,1.3,143586666.7
8654.5,0.4,26125000   
131.8,9.8,7315000    
6238.5,1,277170666.7
220.9,0.4,119958666.7
,,21351000   
2230.7,1.2,35717000   
27110.7,1.2,2420300667 
22878.5,1.2,33341634333
,,19800000   
4180.8,1,170804333.3
354.6,0.1,7355333.333
1258.8,1.5,81191000   
25306.2,0.6,41229554667
359,0.1,188268666.7
,,           
13577.9,3.1,2712915333 
20751.9,,23635333.33
5330.4,,4774000    
,,45778333.33
,,           
1860.8,0.7,242594000  
411.5,0.4,46684000   
161.3,0.9,7813666.667
1200.7,0.9,69329333.33
371.4,0,40857666.67
1392.4,0.7,131703000  
35536.1,,1026813333 
5634,0.9,4244009000 
33945.3,0.1,92770333.33
786.7,0.6,30391317000
1143.8,0.5,6710201667 
2161.5,2,9183548000 
736.3,7.7,2421917667 
27595.1,0.5,1633778667 
22275.8,5.9,1561079667 
18982.3,1.7,19000454000
3665.3,0.2,340090666.7
39309.5,0.4,46092214667
2534,5.9,377303666.7
2481.7,1,2484925667 
468.7,0.2,283583666.7
760.3,,1111000    
,10.6,5896388667 
16372.5,2.8,9666891667 
,1.6,1712755000 
372.7,0.8,87970666.67
554.9,4.3,21332666.67
5011.2,1.3,125755666.7
6746.6,5.4,428006333.3
495.7,0.2,           
155,0.1,38991333.33
7885.5,3.3,1414031667 
81647.1,,           
5332.2,1.5,226255333.3
52301.6,0.7,592012666.7
33923.3,,38397333.33
2221.2,2.1,168883000  
242.7,0.2,62777000   
184.1,0.1,28490000   
5184.7,1.1,2670950333 
4038.9,,8231666.667
269.9,0.3,17515666.67
11066.8,1.1,73784333.33
2437.3,,1206333.333
,,56162333.33
609.1,1.6,56818666.67
5182.1,0.3,59473333.33
6105.3,0.6,13304503667
2146.4,,           
595.9,0.5,149904333.3
105147.4,,           
772.9,1.2,300934333.3
2222.3,,           
1844.4,2.1,953051000  
389.8,0.1,107096000  
,1.9,322960000  
2667.2,2,26209333.33
,,4814333.333
268.3,1,52657000   
26551.8,0.5,9483023000 
,,102538333.3
,,90269666.67
14778.2,0.4,1321661000 
948.4,0.5,109681000  
180.1,0.2,30800000   
544.6,0.3,2386820333 
,,132000     
39972.4,0.7,1962704333 
11191.8,4.5,487993000  
668.5,1.6,2329308667 
6243.6,,1723333.333
5900.6,0.8,170404666.7
744.2,0.1,88337333.33
1621.2,0.9,95256333.33
3180.4,1.4,1146277000 
1383.4,0.4,2008116000 
6575.7,0.8,23053598333
11744.8,1.6,1865922667 
15822.1,,           
33931.8,1.3,811965000  
,,55146666.67
2636.8,1.5,7104137333 
2923.1,1.9,23404568000
338.3,0.7,20152000   
9175.8,,2251333.333
5248.6,,7601000    
4885,,3659333.333
1784.1,,4352333.333
31993.2,,           
,,2335666.667
9425.3,2.6,7861553333 
561.7,0.4,127108666.7
1194.7,,           
,,           
8614.1,,9155666.667
268.3,0.5,29758666.67
32535.8,6.4,1548044667 
8445.5,0.6,590674333.3
12729.5,1.2,214368000  
1144.1,,5210333.333
,,16379000   
3745.6,0.3,14609848000
15461.8,1,10822529667
1295.7,2.6,253854333.3
524,1,225019666.7
2668,1.1,86317000   
1810.2,,22704000   
32292.5,0.4,4286590000 
37662.8,0.5,2406741333 
1525.8,6,1436893333 
,,5248815000 
279.2,0.6,104170000  
456.4,0.1,100782000  
2712.5,1.1,4200940333 
369.6,0.2,850666.6667
285.2,0.3,32233666.67
2025.3,,2907666.667
10480.8,0.6,           
3164.9,1.3,525891666.7
5348.6,2.4,5675629667 
2062.1,0.9,531303666.7
1714.9,,           
377.4,0.3,49793333.33
1036.8,0.9,5584766000 
21087.4,1.8,2315698000 
28033.5,0.5,72524250333
37491.2,1,3.34E+11   
9106.3,1.6,275744333.3
952.8,0.7,1718339333 
1544,,2977333.333
5528.4,0.9,5418886000 
722.8,1.1,1425435000 
,5.9,14241333.33
610.4,2.3,234864666.7
432.2,0.3,132025666.7
320.8,1,590219666.7
